date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:36	207495/207495	---MCZ	200	added ('OK')	text/html	etag:%22df15be74fa078674864238bda3c2da2c-ssl-df%22	https://www.solutelabs.com/blog	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/blog.html	(from )
20:25:37	137/137	---M--	200	added ('OK')	text/plain	etag:%220808f3183a20a0a60a8e304add04060d-ssl%22	https://www.solutelabs.com/robots.txt		(from )
20:25:37	13993/13993	---M--	200	added ('OK')	image/png	etag:%22eeb03ffc9c41a725ef77b5d96118dde8-ssl%22	https://www.solutelabs.com/static/solute_shape_bg-fd5f32b5b6c3d6dabbf50b7e6b372d9b.png	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/static/solute_shape_bg-fd5f32b5b6c3d6dabbf50b7e6b372d9b.png	(from https://www.solutelabs.com/blog)
20:25:37	1110/1110	---M--	200	added ('OK')	image/png	etag:%22675a9f98d97b6b83d238d41f8ea042e5-ssl%22	https://www.solutelabs.com/favicon-32x32.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/favicon-32x320320.png	(from https://www.solutelabs.com/blog)
20:25:38	1026/1026	---M-Z	200	added ('OK')	application/octet-stream	etag:%2283ebd959ae8fa5ffb20a907bb69c1d1c-ssl-df%22	https://www.solutelabs.com/manifest.webmanifest	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/manifest.webmanifest	(from https://www.solutelabs.com/blog)
20:25:38	1741/1741	---M--	200	added ('OK')	image/png	etag:%226a49970c257da190e8ce5ed0f69df3d7-ssl%22	https://www.solutelabs.com/icons/icon-48x48.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/icons/icon-48x480320.png	(from https://www.solutelabs.com/blog)
20:25:39	2559/2559	---M--	200	added ('OK')	image/png	etag:%22839b8a9dc8bebb7fce42621140a38422-ssl%22	https://www.solutelabs.com/icons/icon-72x72.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/icons/icon-72x720320.png	(from https://www.solutelabs.com/blog)
20:25:39	3316/3316	---M--	200	added ('OK')	image/png	etag:%22d006a49a0c06777cffaea32b15777169-ssl%22	https://www.solutelabs.com/icons/icon-96x96.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/icons/icon-96x960320.png	(from https://www.solutelabs.com/blog)
20:25:40	5013/5013	---M--	200	added ('OK')	image/png	etag:%22d4991bf3dccbc27ec407968a3ca8205e-ssl%22	https://www.solutelabs.com/icons/icon-144x144.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/icons/icon-144x1440320.png	(from https://www.solutelabs.com/blog)
20:25:40	6883/6883	---M--	200	added ('OK')	image/png	etag:%228300570fe32d3d148d964349e60b6141-ssl%22	https://www.solutelabs.com/icons/icon-192x192.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/icons/icon-192x1920320.png	(from https://www.solutelabs.com/blog)
20:25:41	9002/9002	---M--	200	added ('OK')	image/png	etag:%22bd44e763c25b3bdff279e908277dbec0-ssl%22	https://www.solutelabs.com/icons/icon-256x256.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/icons/icon-256x2560320.png	(from https://www.solutelabs.com/blog)
20:25:41	15334/15334	---M--	200	added ('OK')	image/png	etag:%22cb8dd1008c45d6df693322661494e1d8-ssl%22	https://www.solutelabs.com/icons/icon-384x384.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/icons/icon-384x3840320.png	(from https://www.solutelabs.com/blog)
20:25:41	17791/17791	---M--	200	added ('OK')	image/png	etag:%227aff924cc64eeef3c88662450588cf5c-ssl%22	https://www.solutelabs.com/icons/icon-512x512.png?v=9bb09a1a697cc5ccac6d46f3e7f6ef49	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/icons/icon-512x5120320.png	(from https://www.solutelabs.com/blog)
20:25:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2029%20Nov%202021%2001:25:41%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.googletagmanager.com/gtm.c5445.delayed	(from https://www.solutelabs.com/blog)
20:25:42	285/285	---M--	200	added ('OK')	application/xml	etag:%220df37041d0b947862f43bef47e4bd797-ssl%22	https://www.solutelabs.com/sitemap.xml	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/sitemap.xml	(from https://www.solutelabs.com/blog)
20:25:42	22621/22621	---M-Z	200	added ('OK')	application/javascript	etag:%221c52c908d335e72198a1e2363171f2ed-ssl-df%22	https://www.solutelabs.com/7d11d38ecc06116d228715de4debd0e3835cd189-aaecb74ed0ccc42a3b2c.js	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/7d11d38ecc06116d228715de4debd0e3835cd189-aaecb74ed0ccc42a3b2c.js	(from https://www.solutelabs.com/blog)
20:25:43	128876/128876	---MCZ	200	added ('OK')	application/javascript	etag:%22e618acbd6e41a76a113b2041eae9214c-ssl-df%22	https://www.solutelabs.com/framework-c770942910bc9ab56343.js	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/framework-c770942910bc9ab56343.js	(from https://www.solutelabs.com/blog)
20:25:43	8793/8793	---M-Z	200	added ('OK')	application/javascript	etag:%22485c5219a14010b69f7a2a73af1f756f-ssl%22	https://www.solutelabs.com/component---src-components-blogs-index-js-bab312c525b41bec0fbf.js	C:/Users/bryan/Downloads/https___www.solutelabs.com_blog/www.solutelabs.com/component---src-components-blogs-index-js-bab312c525b41bec0fbf.js	(from https://www.solutelabs.com/blog)
